ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     1.0.0             4.551     10/07/2017    2122      502416584D79662DF8FB7F7B1AFDF185
2     1.0.0-1           4.263     10/07/2017    2122      F662523BFA3E5AFAA51FF27062A62CB0
3     1.0.1             4.534     10/07/2017    2124      F2087C8447B941ACBF7DFE1BD0121EE8
4     1.0.2             4.494     10/07/2017    2124      3AB1866211828F279204810F72992A9A
5     1.0.3             4.389     10/07/2017    2124      1E70C75DBA70CCE947F6721F98911DFB
6     1.0.4             4.521     10/07/2017    2124      350C2BA90F153E21DAF2962563BFE6D5
7     1.0.5             4.337     10/07/2017    2124      9C0218DC552C1A4265C218E7C4FF75D1
8     1.0.6             4.356     10/07/2017    2124      9ED9052B5345353A2BE10D6E257F7001
9     1.0.7             3.868     13/07/2017    2127      EFD50363BDE760F0EBF5E5A3A87068CF
10    1.0.7-1           4.117     13/07/2017    2127      5489AB73ABF73CABCD75296C2BA31A75
11    1.0.7-2           4.438     13/07/2017    2160      7F5ADC5168C436682789B3C244809937
12    1.0.8             4.521     21/07/2017    2160      BE9A0C22648CEFBB8BDB6CBFAC255D6B
13    1.0.8-1           4.458     21/07/2017    2160      4DFDAB57BEA3AEBF2412AE7766B87109
14    1.0.9             4.884     21/07/2017    2160      F3FE2AB15ADC7DDB3673F138DF4267ED
15    1.1.0             4.523     27/07/2017    2160      204B6C2F5C60148C183F07D6A0563B3B
16    1.1.1             4.763     27/07/2017    2160      DE226B4B34B3CB11B3051C0384A57CB0
17    1.1.2             4.463     27/07/2017    2160      E6B194208193FF6E3428B4C1B6CA8A39
18    1.1.2-1           4.332     27/07/2017    2160      5212321EF15F52DB2462E7687BA2BEB6
19    1.1.3             4.966     28/07/2017    2160      E2DC767FC889FE5B9D847A07C0292D7F
20    1.1.3-1           4.995     29/07/2017    2158      CA4D1F7AE684C76E85F988BD3A207874
21    1.1.3-2           5.845     30/07/2017    2158      B26C92FBF16436C3E27B44FBEA5E84AE
